Date,Collect,Feast,Color
04-24,"Almighty Father, who hast given thine only Son to die for our sins, and to rise again for our justification: Grant us so to put away the leaven of malice and wickedness, that we may alway serve thee in pureness of living and truth, through the merits of the same thy Son Jesus Christ our Lord. Amen.",The Friday in the Second Week After Easter,White
04-25,"Almighty Father, who hast given thine only Son to die for our sins, and to rise again for our justification: Grant us so to put away the leaven of malice and wickedness, that we may alway serve thee in pureness of living and truth, through the merits of the same thy Son Jesus Christ our Lord. Amen.","Saint Mark, Evangelist and Martyr",Red
04-26,"Almighty God, who showest to those who are in error the light of thy truth, to the intent that they may return into the way of righteousness: Grant unto all those who are admitted into the fellowship of Christ’s religion, that they may eschew those things that are contrary to their profession, and follow all such things as are agreeable to the same, through our Lord Jesus Christ. Amen.",The Third Sunday after Easter,White
04-27,"Almighty God, who showest to those who are in error the light of thy truth, to the intent that they may return into the way of righteousness: Grant unto all those who are admitted into the fellowship of Christ’s religion, that they may eschew those things that are contrary to their profession, and follow all such things as are agreeable to the same, through our Lord Jesus Christ. Amen.",The Monday in the Third Week After Easter,White
04-28,"Almighty God, who showest to those who are in error the light of thy truth, to the intent that they may return into the way of righteousness: Grant unto all those who are admitted into the fellowship of Christ’s religion, that they may eschew those things that are contrary to their profession, and follow all such things as are agreeable to the same, through our Lord Jesus Christ. Amen.",The Tuesday in the Third Week After Easter,White
04-29,"Almighty God, who showest to those who are in error the light of thy truth, to the intent that they may return into the way of righteousness: Grant unto all those who are admitted into the fellowship of Christ’s religion, that they may eschew those things that are contrary to their profession, and follow all such things as are agreeable to the same, through our Lord Jesus Christ. Amen.",The Wednesday in the Third Week After Easter,White
04-30,"Almighty God, who showest to those who are in error the light of thy truth, to the intent that they may return into the way of righteousness: Grant unto all those who are admitted into the fellowship of Christ’s religion, that they may eschew those things that are contrary to their profession, and follow all such things as are agreeable to the same, through our Lord Jesus Christ. Amen.",The Thursday in the Third Week After Easter,White
05-01,"O almighty God, whom truly to know is everlasting life: Grant us perfectly to know thy Son Jesus Christ to be the way, the truth, and the life, that, following the steps of thy holy apostles, Saint Philip and Saint James, we may steadfastly walk in the way that leadeth to eternal life, through the same thy Son Jesus Christ our Lord. Amen.","Saint Philip and Saint James, Apostles and Martyrs",Red
05-02,"Almighty God, who showest to those who are in error the light of thy truth, to the intent that they may return into the way of righteousness: Grant unto all those who are admitted into the fellowship of Christ’s religion, that they may eschew those things that are contrary to their profession, and follow all such things as are agreeable to the same, through our Lord Jesus Christ. Amen.",The Saturday in the Third Week After Easter,White
05-03,"O almighty God, who alone canst order the unruly wills and affections of sinful men: Grant unto thy people, that they may love the thing which thou commandest, and desire that which thou dost promise, that so, among the sundry and manifold changes of the world, our hearts may surely there be fixed, where true joys are to be found, through Jesus Christ our Lord. Amen.",The Fourth Sunday after Easter,White
05-04,"O almighty God, who alone canst order the unruly wills and affections of sinful men: Grant unto thy people, that they may love the thing which thou commandest, and desire that which thou dost promise, that so, among the sundry and manifold changes of the world, our hearts may surely there be fixed, where true joys are to be found, through Jesus Christ our Lord. Amen.",The Monday in the Fourth Week After Easter,White
05-05,"O almighty God, who alone canst order the unruly wills and affections of sinful men: Grant unto thy people, that they may love the thing which thou commandest, and desire that which thou dost promise, that so, among the sundry and manifold changes of the world, our hearts may surely there be fixed, where true joys are to be found, through Jesus Christ our Lord. Amen.",The Tuesday in the Fourth Week After Easter,White
05-06,"O almighty God, who alone canst order the unruly wills and affections of sinful men: Grant unto thy people, that they may love the thing which thou commandest, and desire that which thou dost promise, that so, among the sundry and manifold changes of the world, our hearts may surely there be fixed, where true joys are to be found, through Jesus Christ our Lord. Amen.",The Wednesday in the Fourth Week After Easter,White
05-07,"O almighty God, who alone canst order the unruly wills and affections of sinful men: Grant unto thy people, that they may love the thing which thou commandest, and desire that which thou dost promise, that so, among the sundry and manifold changes of the world, our hearts may surely there be fixed, where true joys are to be found, through Jesus Christ our Lord. Amen.",The Thursday in the Fourth Week After Easter,White
05-08,"O almighty God, who alone canst order the unruly wills and affections of sinful men: Grant unto thy people, that they may love the thing which thou commandest, and desire that which thou dost promise, that so, among the sundry and manifold changes of the world, our hearts may surely there be fixed, where true joys are to be found, through Jesus Christ our Lord. Amen.",The Friday in the Fourth Week After Easter,White
05-09,"O almighty God, who alone canst order the unruly wills and affections of sinful men: Grant unto thy people, that they may love the thing which thou commandest, and desire that which thou dost promise, that so, among the sundry and manifold changes of the world, our hearts may surely there be fixed, where true joys are to be found, through Jesus Christ our Lord. Amen.",The Saturday in the Fourth Week After Easter,White
05-10,"O Lord, from whom all good things do come: Grant to us thy humble servants, that by thy holy inspiration we may think those things that are good, and by thy merciful guiding may perform the same, through our Lord Jesus Christ. Amen.",The Fifth Sunday after Easter (Rogation Sunday),White
05-11,"O Lord, from whom all good things do come: Grant to us thy humble servants, that by thy holy inspiration we may think those things that are good, and by thy merciful guiding may perform the same, through our Lord Jesus Christ. Amen.",The Monday in the Fifth Week After Easter,White
05-12,"O Lord, from whom all good things do come: Grant to us thy humble servants, that by thy holy inspiration we may think those things that are good, and by thy merciful guiding may perform the same, through our Lord Jesus Christ. Amen.",The Tuesday in the Fifth Week After Easter,White
05-13,"O Lord, from whom all good things do come: Grant to us thy humble servants, that by thy holy inspiration we may think those things that are good, and by thy merciful guiding may perform the same, through our Lord Jesus Christ. Amen.",The Wednesday in the Fifth Week After Easter,White
05-14,"Grant, we beseech thee, almighty God, that like as we do believe thy only-begotten Son our Lord Jesus Christ to have ascended into the heavens, so we may also in heart and mind thither ascend, and with him continually dwell, who liveth and reigneth with thee and the Holy Ghost, one God, world without end. Amen.",Ascension Day,White
05-15,"Grant, we beseech thee, almighty God, that like as we do believe thy only-begotten Son our Lord Jesus Christ to have ascended into the heavens, so we may also in heart and mind thither ascend, and with him continually dwell, who liveth and reigneth with thee and the Holy Ghost, one God, world without end. Amen.",The Friday After Ascension,White
05-16,"Grant, we beseech thee, almighty God, that like as we do believe thy only-begotten Son our Lord Jesus Christ to have ascended into the heavens, so we may also in heart and mind thither ascend, and with him continually dwell, who liveth and reigneth with thee and the Holy Ghost, one God, world without end. Amen.",The Saturday After Ascension,White
05-17,"O God, the king of glory, who hast exalted thine only Son Jesus Christ with great triumph unto thy kingdom in heaven: We beseech thee, leave us not comfortless, but send to us thy Holy Ghost to comfort us, and exalt us unto the same place whither our Saviour Christ is gone before, who liveth and reigneth with thee and the Holy Ghost, one God, world without end. Amen.",The Sunday after Ascension Day,White
05-18,"O God, the king of glory, who hast exalted thine only Son Jesus Christ with great triumph unto thy kingdom in heaven: We beseech thee, leave us not comfortless, but send to us thy Holy Ghost to comfort us, and exalt us unto the same place whither our Saviour Christ is gone before, who liveth and reigneth with thee and the Holy Ghost, one God, world without end. Amen.",The Monday in the Week After Ascension,White
05-19,"O God, the king of glory, who hast exalted thine only Son Jesus Christ with great triumph unto thy kingdom in heaven: We beseech thee, leave us not comfortless, but send to us thy Holy Ghost to comfort us, and exalt us unto the same place whither our Saviour Christ is gone before, who liveth and reigneth with thee and the Holy Ghost, one God, world without end. Amen.",The Tuesday in the Week After Ascension,White
05-20,"O God, the king of glory, who hast exalted thine only Son Jesus Christ with great triumph unto thy kingdom in heaven: We beseech thee, leave us not comfortless, but send to us thy Holy Ghost to comfort us, and exalt us unto the same place whither our Saviour Christ is gone before, who liveth and reigneth with thee and the Holy Ghost, one God, world without end. Amen.",The Wednesday in the Week After Ascension,White
05-21,"O God, the king of glory, who hast exalted thine only Son Jesus Christ with great triumph unto thy kingdom in heaven: We beseech thee, leave us not comfortless, but send to us thy Holy Ghost to comfort us, and exalt us unto the same place whither our Saviour Christ is gone before, who liveth and reigneth with thee and the Holy Ghost, one God, world without end. Amen.",The Thursday in the Week After Ascension,White
05-22,"O God, the king of glory, who hast exalted thine only Son Jesus Christ with great triumph unto thy kingdom in heaven: We beseech thee, leave us not comfortless, but send to us thy Holy Ghost to comfort us, and exalt us unto the same place whither our Saviour Christ is gone before, who liveth and reigneth with thee and the Holy Ghost, one God, world without end. Amen.",The Friday in the Week After Ascension,White
05-23,"O God, the king of glory, who hast exalted thine only Son Jesus Christ with great triumph unto thy kingdom in heaven: We beseech thee, leave us not comfortless, but send to us thy Holy Ghost to comfort us, and exalt us unto the same place whither our Saviour Christ is gone before, who liveth and reigneth with thee and the Holy Ghost, one God, world without end. Amen.",The Saturday in the Week After Ascension,White
05-24,"God, who as at this time didst teach the hearts of thy faithful people, by sending to them the light of thy Holy Spirit: Grant us by the same Spirit to have a right judgement in all things, and evermore to rejoice in his holy comfort, through the merits of Christ Jesus our Saviour, who liveth and reigneth with thee, in the unity of the same Spirit, one God, world without end. Amen.",Whitsunday (Pentecost),Red
05-25,"God, who as at this time didst teach the hearts of thy faithful people, by sending to them the light of thy Holy Spirit: Grant us by the same Spirit to have a right judgement in all things, and evermore to rejoice in his holy comfort, through the merits of Christ Jesus our Saviour, who liveth and reigneth with thee, in the unity of the same Spirit, one God, world without end. Amen.",The Monday in Whitsun Week,Green
05-26,"God, who as at this time didst teach the hearts of thy faithful people, by sending to them the light of thy Holy Spirit: Grant us by the same Spirit to have a right judgement in all things, and evermore to rejoice in his holy comfort, through the merits of Christ Jesus our Saviour, who liveth and reigneth with thee, in the unity of the same Spirit, one God, world without end. Amen.",The Tuesday in Whitsun Week,Green
05-27,"God, who as at this time didst teach the hearts of thy faithful people, by sending to them the light of thy Holy Spirit: Grant us by the same Spirit to have a right judgement in all things, and evermore to rejoice in his holy comfort, through the merits of Christ Jesus our Saviour, who liveth and reigneth with thee, in the unity of the same Spirit, one God, world without end. Amen.",The Wednesday in Whitsun Week,Green
05-28,"God, who as at this time didst teach the hearts of thy faithful people, by sending to them the light of thy Holy Spirit: Grant us by the same Spirit to have a right judgement in all things, and evermore to rejoice in his holy comfort, through the merits of Christ Jesus our Saviour, who liveth and reigneth with thee, in the unity of the same Spirit, one God, world without end. Amen.",The Thursday in Whitsun Week,Green
05-29,"God, who as at this time didst teach the hearts of thy faithful people, by sending to them the light of thy Holy Spirit: Grant us by the same Spirit to have a right judgement in all things, and evermore to rejoice in his holy comfort, through the merits of Christ Jesus our Saviour, who liveth and reigneth with thee, in the unity of the same Spirit, one God, world without end. Amen.",The Friday in Whitsun Week,Green
05-30,"God, who as at this time didst teach the hearts of thy faithful people, by sending to them the light of thy Holy Spirit: Grant us by the same Spirit to have a right judgement in all things, and evermore to rejoice in his holy comfort, through the merits of Christ Jesus our Saviour, who liveth and reigneth with thee, in the unity of the same Spirit, one God, world without end. Amen.",The Saturday in Whitsun Week,Green
05-31,"Almighty and everlasting God, who hast given unto us thy servants grace, by the confession of a true faith, to acknowledge the glory of the eternal Trinity, and in the power of the Divine Majesty to worship the Unity: We beseech thee that thou wouldest keep us steadfast in this faith, and evermore defend us from all adversities, who livest and reignest, one God, world without end. Amen.",Trinity Sunday,White
06-01,"Almighty and everlasting God, who hast given unto us thy servants grace, by the confession of a true faith, to acknowledge the glory of the eternal Trinity, and in the power of the Divine Majesty to worship the Unity: We beseech thee that thou wouldest keep us steadfast in this faith, and evermore defend us from all adversities, who livest and reignest, one God, world without end. Amen.",The Monday in the First Week After Trinity,Green
06-02,"Almighty and everlasting God, who hast given unto us thy servants grace, by the confession of a true faith, to acknowledge the glory of the eternal Trinity, and in the power of the Divine Majesty to worship the Unity: We beseech thee that thou wouldest keep us steadfast in this faith, and evermore defend us from all adversities, who livest and reignest, one God, world without end. Amen.",The Tuesday in the First Week After Trinity,Green
06-03,"Almighty and everlasting God, who hast given unto us thy servants grace, by the confession of a true faith, to acknowledge the glory of the eternal Trinity, and in the power of the Divine Majesty to worship the Unity: We beseech thee that thou wouldest keep us steadfast in this faith, and evermore defend us from all adversities, who livest and reignest, one God, world without end. Amen.",The Wednesday in the First Week After Trinity,Green
06-04,"Almighty and everlasting God, who hast given unto us thy servants grace, by the confession of a true faith, to acknowledge the glory of the eternal Trinity, and in the power of the Divine Majesty to worship the Unity: We beseech thee that thou wouldest keep us steadfast in this faith, and evermore defend us from all adversities, who livest and reignest, one God, world without end. Amen.",The Thursday in the First Week After Trinity,Green
06-05,"Almighty and everlasting God, who hast given unto us thy servants grace, by the confession of a true faith, to acknowledge the glory of the eternal Trinity, and in the power of the Divine Majesty to worship the Unity: We beseech thee that thou wouldest keep us steadfast in this faith, and evermore defend us from all adversities, who livest and reignest, one God, world without end. Amen.",The Friday in the First Week After Trinity,Green
06-06,"Almighty and everlasting God, who hast given unto us thy servants grace, by the confession of a true faith, to acknowledge the glory of the eternal Trinity, and in the power of the Divine Majesty to worship the Unity: We beseech thee that thou wouldest keep us steadfast in this faith, and evermore defend us from all adversities, who livest and reignest, one God, world without end. Amen.",The Saturday in the First Week After Trinity,Green
06-07,"O God, the strength of all those who put their trust in thee: Mercifully accept our prayers, and because through the weakness of our mortal nature we can do no good thing without thee, grant us the help of thy grace, that in keeping of thy commandments we may please thee, both in will and deed, through Jesus Christ our Lord. Amen.",The First Sunday after Trinity,Green
06-08,"O God, the strength of all those who put their trust in thee: Mercifully accept our prayers, and because through the weakness of our mortal nature we can do no good thing without thee, grant us the help of thy grace, that in keeping of thy commandments we may please thee, both in will and deed, through Jesus Christ our Lord. Amen.",The Monday in the Second Week After Trinity,Green
06-09,"O God, the strength of all those who put their trust in thee: Mercifully accept our prayers, and because through the weakness of our mortal nature we can do no good thing without thee, grant us the help of thy grace, that in keeping of thy commandments we may please thee, both in will and deed, through Jesus Christ our Lord. Amen.",The Tuesday in the Second Week After Trinity,Green
06-10,"O God, the strength of all those who put their trust in thee: Mercifully accept our prayers, and because through the weakness of our mortal nature we can do no good thing without thee, grant us the help of thy grace, that in keeping of thy commandments we may please thee, both in will and deed, through Jesus Christ our Lord. Amen.",The Wednesday in the Second Week After Trinity,Green
06-11,"O Lord God almighty, who didst endue thy holy apostle Barnabas with singular gifts of the Holy Ghost: Leave us not, we beseech thee, destitute of thy manifold gifts, nor yet of grace to use them alway to thy honour and glory, through Jesus Christ our Lord. Amen.","Saint Barnabas, Apostle and Martyr",Red
06-12,"O God, the strength of all those who put their trust in thee: Mercifully accept our prayers, and because through the weakness of our mortal nature we can do no good thing without thee, grant us the help of thy grace, that in keeping of thy commandments we may please thee, both in will and deed, through Jesus Christ our Lord. Amen.",The Friday in the Second Week After Trinity,Green
06-13,"O God, the strength of all those who put their trust in thee: Mercifully accept our prayers, and because through the weakness of our mortal nature we can do no good thing without thee, grant us the help of thy grace, that in keeping of thy commandments we may please thee, both in will and deed, through Jesus Christ our Lord. Amen.",The Saturday in the Second Week After Trinity,Green
06-14,"O Lord, who never failest to help and govern those whom thou dost bring up in thy steadfast fear and love: Keep us, we beseech thee, under the protection of thy good providence, and make us to have a perpetual fear and love of thy holy name, through Jesus Christ our Lord. Amen.",The Second Sunday after Trinity,Green
06-15,"O Lord, who never failest to help and govern those whom thou dost bring up in thy steadfast fear and love: Keep us, we beseech thee, under the protection of thy good providence, and make us to have a perpetual fear and love of thy holy name, through Jesus Christ our Lord. Amen.",The Monday in the Third Week After Trinity,Green
06-16,"O Lord, who never failest to help and govern those whom thou dost bring up in thy steadfast fear and love: Keep us, we beseech thee, under the protection of thy good providence, and make us to have a perpetual fear and love of thy holy name, through Jesus Christ our Lord. Amen.",The Tuesday in the Third Week After Trinity,Green
06-17,"O Lord, who never failest to help and govern those whom thou dost bring up in thy steadfast fear and love: Keep us, we beseech thee, under the protection of thy good providence, and make us to have a perpetual fear and love of thy holy name, through Jesus Christ our Lord. Amen.",The Wednesday in the Third Week After Trinity,Green
06-18,"O Lord, who never failest to help and govern those whom thou dost bring up in thy steadfast fear and love: Keep us, we beseech thee, under the protection of thy good providence, and make us to have a perpetual fear and love of thy holy name, through Jesus Christ our Lord. Amen.",The Thursday in the Third Week After Trinity,Green
06-19,"O Lord, who never failest to help and govern those whom thou dost bring up in thy steadfast fear and love: Keep us, we beseech thee, under the protection of thy good providence, and make us to have a perpetual fear and love of thy holy name, through Jesus Christ our Lord. Amen.",The Friday in the Third Week After Trinity,Green
06-20,"O Lord, who never failest to help and govern those whom thou dost bring up in thy steadfast fear and love: Keep us, we beseech thee, under the protection of thy good providence, and make us to have a perpetual fear and love of thy holy name, through Jesus Christ our Lord. Amen.",The Saturday in the Third Week After Trinity,Green
06-21,"O Lord, we beseech thee mercifully to hear us, and grant that we, to whom thou hast given a hearty desire to pray, may by thy mighty aid be defended and comforted in all dangers and adversities, through Jesus Christ our Lord. Amen.",The Third Sunday after Trinity,Green
06-22,"O Lord, we beseech thee mercifully to hear us, and grant that we, to whom thou hast given a hearty desire to pray, may by thy mighty aid be defended and comforted in all dangers and adversities, through Jesus Christ our Lord. Amen.",The Monday in the Fourth Week After Trinity,Green
06-23,"O Lord, we beseech thee mercifully to hear us, and grant that we, to whom thou hast given a hearty desire to pray, may by thy mighty aid be defended and comforted in all dangers and adversities, through Jesus Christ our Lord. Amen.",The Tuesday in the Fourth Week After Trinity,Green
06-24,"Almighty God, by whose providence thy servant John the Baptist was wonderfully born, and sent to prepare the way of thy Son our Saviour by preaching of repentance: Make us so to follow his doctrine and holy life, that we may truly repent according to his preaching; and after his example constantly speak the truth, boldly rebuke vice, and patiently suffer for the truth’s sake, through Jesus Christ our Lord. Amen.",Nativity of Saint John Baptist (Midsummer Day),White
06-25,"O Lord, we beseech thee mercifully to hear us, and grant that we, to whom thou hast given a hearty desire to pray, may by thy mighty aid be defended and comforted in all dangers and adversities, through Jesus Christ our Lord. Amen.",The Thursday in the Fourth Week After Trinity,Green
06-26,"O Lord, we beseech thee mercifully to hear us, and grant that we, to whom thou hast given a hearty desire to pray, may by thy mighty aid be defended and comforted in all dangers and adversities, through Jesus Christ our Lord. Amen.",The Friday in the Fourth Week After Trinity,Green
06-27,"O Lord, we beseech thee mercifully to hear us, and grant that we, to whom thou hast given a hearty desire to pray, may by thy mighty aid be defended and comforted in all dangers and adversities, through Jesus Christ our Lord. Amen.",The Saturday in the Fourth Week After Trinity,Green
06-28,"O God, the protector of all who trust in thee, without whom nothing is strong, nothing is holy: Increase and multiply upon us thy mercy, that, thou being our ruler and guide, we may so pass through things temporal, that we finally lose not the things eternal. Grant this, O heavenly Father, for Jesus Christ’s sake, our Lord. Amen.",The Fourth Sunday after Trinity,Green
06-29,"O almighty God, who by thy Son Jesus Christ didst give to thy apostle Saint Peter many excellent gifts, and commandedst him earnestly to feed thy flock: Make, we beseech thee, all bishops and pastors diligently to preach thy holy word, and the people obediently to follow the same, that they may receive the crown of everlasting glory, through Jesus Christ our Lord. Amen.","Saint Peter, Apostle and Martyr",Red
06-30,"O God, the protector of all who trust in thee, without whom nothing is strong, nothing is holy: Increase and multiply upon us thy mercy, that, thou being our ruler and guide, we may so pass through things temporal, that we finally lose not the things eternal. Grant this, O heavenly Father, for Jesus Christ’s sake, our Lord. Amen.",The Tuesday in the Fifth Week After Trinity,Green
07-01,"O God, the protector of all who trust in thee, without whom nothing is strong, nothing is holy: Increase and multiply upon us thy mercy, that, thou being our ruler and guide, we may so pass through things temporal, that we finally lose not the things eternal. Grant this, O heavenly Father, for Jesus Christ’s sake, our Lord. Amen.",The Wednesday in the Fifth Week After Trinity,Green
07-02,"O God, the protector of all who trust in thee, without whom nothing is strong, nothing is holy: Increase and multiply upon us thy mercy, that, thou being our ruler and guide, we may so pass through things temporal, that we finally lose not the things eternal. Grant this, O heavenly Father, for Jesus Christ’s sake, our Lord. Amen.",The Thursday in the Fifth Week After Trinity,Green
07-03,"O God, the protector of all who trust in thee, without whom nothing is strong, nothing is holy: Increase and multiply upon us thy mercy, that, thou being our ruler and guide, we may so pass through things temporal, that we finally lose not the things eternal. Grant this, O heavenly Father, for Jesus Christ’s sake, our Lord. Amen.",The Friday in the Fifth Week After Trinity,Green
07-04,"O God, the protector of all who trust in thee, without whom nothing is strong, nothing is holy: Increase and multiply upon us thy mercy, that, thou being our ruler and guide, we may so pass through things temporal, that we finally lose not the things eternal. Grant this, O heavenly Father, for Jesus Christ’s sake, our Lord. Amen.",The Saturday in the Fifth Week After Trinity,Green
07-05,"Grant, O Lord, we beseech thee, that the course of this world may be so peaceably ordered by thy governance, that thy church may joyfully serve thee in all godly quietness, through Jesus Christ our Lord. Amen.",The Fifth Sunday after Trinity,Green
07-06,"Grant, O Lord, we beseech thee, that the course of this world may be so peaceably ordered by thy governance, that thy church may joyfully serve thee in all godly quietness, through Jesus Christ our Lord. Amen.",The Monday in the Sixth Week After Trinity,Green
07-07,"Grant, O Lord, we beseech thee, that the course of this world may be so peaceably ordered by thy governance, that thy church may joyfully serve thee in all godly quietness, through Jesus Christ our Lord. Amen.",The Tuesday in the Sixth Week After Trinity,Green
07-08,"Grant, O Lord, we beseech thee, that the course of this world may be so peaceably ordered by thy governance, that thy church may joyfully serve thee in all godly quietness, through Jesus Christ our Lord. Amen.",The Wednesday in the Sixth Week After Trinity,Green
07-09,"Grant, O Lord, we beseech thee, that the course of this world may be so peaceably ordered by thy governance, that thy church may joyfully serve thee in all godly quietness, through Jesus Christ our Lord. Amen.",The Thursday in the Sixth Week After Trinity,Green
07-10,"Grant, O Lord, we beseech thee, that the course of this world may be so peaceably ordered by thy governance, that thy church may joyfully serve thee in all godly quietness, through Jesus Christ our Lord. Amen.",The Friday in the Sixth Week After Trinity,Green
07-11,"Grant, O Lord, we beseech thee, that the course of this world may be so peaceably ordered by thy governance, that thy church may joyfully serve thee in all godly quietness, through Jesus Christ our Lord. Amen.",The Saturday in the Sixth Week After Trinity,Green
07-12,"O God, who hast prepared for those who love thee such good things as pass man’s understanding: Pour into our hearts such love toward thee, that we, loving thee above all things, may obtain thy promises, which exceed all that we can desire, through Jesus Christ our Lord. Amen.",The Sixth Sunday after Trinity,Green
07-13,"O God, who hast prepared for those who love thee such good things as pass man’s understanding: Pour into our hearts such love toward thee, that we, loving thee above all things, may obtain thy promises, which exceed all that we can desire, through Jesus Christ our Lord. Amen.",The Monday in the Seventh Week After Trinity,Green
07-14,"O God, who hast prepared for those who love thee such good things as pass man’s understanding: Pour into our hearts such love toward thee, that we, loving thee above all things, may obtain thy promises, which exceed all that we can desire, through Jesus Christ our Lord. Amen.",The Tuesday in the Seventh Week After Trinity,Green
07-15,"O God, who hast prepared for those who love thee such good things as pass man’s understanding: Pour into our hearts such love toward thee, that we, loving thee above all things, may obtain thy promises, which exceed all that we can desire, through Jesus Christ our Lord. Amen.",The Wednesday in the Seventh Week After Trinity,Green
07-16,"O God, who hast prepared for those who love thee such good things as pass man’s understanding: Pour into our hearts such love toward thee, that we, loving thee above all things, may obtain thy promises, which exceed all that we can desire, through Jesus Christ our Lord. Amen.",The Thursday in the Seventh Week After Trinity,Green
07-17,"O God, who hast prepared for those who love thee such good things as pass man’s understanding: Pour into our hearts such love toward thee, that we, loving thee above all things, may obtain thy promises, which exceed all that we can desire, through Jesus Christ our Lord. Amen.",The Friday in the Seventh Week After Trinity,Green
07-18,"O God, who hast prepared for those who love thee such good things as pass man’s understanding: Pour into our hearts such love toward thee, that we, loving thee above all things, may obtain thy promises, which exceed all that we can desire, through Jesus Christ our Lord. Amen.",The Saturday in the Seventh Week After Trinity,Green
07-19,"Lord of all power and might, who art the author and giver of all good things: Graft in our hearts the love of thy name, increase in us true religion, nourish us with all goodness, and of thy great mercy keep us in the same, through Jesus Christ our Lord. Amen.",The Seventh Sunday after Trinity,Green
07-20,"Lord of all power and might, who art the author and giver of all good things: Graft in our hearts the love of thy name, increase in us true religion, nourish us with all goodness, and of thy great mercy keep us in the same, through Jesus Christ our Lord. Amen.",The Monday in the Eighth Week After Trinity,Green
07-21,"Lord of all power and might, who art the author and giver of all good things: Graft in our hearts the love of thy name, increase in us true religion, nourish us with all goodness, and of thy great mercy keep us in the same, through Jesus Christ our Lord. Amen.",The Tuesday in the Eighth Week After Trinity,Green
07-22,"Lord of all power and might, who art the author and giver of all good things: Graft in our hearts the love of thy name, increase in us true religion, nourish us with all goodness, and of thy great mercy keep us in the same, through Jesus Christ our Lord. Amen.",The Wednesday in the Eighth Week After Trinity,Green
07-23,"Lord of all power and might, who art the author and giver of all good things: Graft in our hearts the love of thy name, increase in us true religion, nourish us with all goodness, and of thy great mercy keep us in the same, through Jesus Christ our Lord. Amen.",The Thursday in the Eighth Week After Trinity,Green
07-24,"Lord of all power and might, who art the author and giver of all good things: Graft in our hearts the love of thy name, increase in us true religion, nourish us with all goodness, and of thy great mercy keep us in the same, through Jesus Christ our Lord. Amen.",The Friday in the Eighth Week After Trinity,Green
07-25,"Grant, O merciful God, that, as thy holy apostle Saint James, leaving his father and all that he had, without delay was obedient unto the calling of thy Son Jesus Christ, and followed him, so we, forsaking all worldly and carnal affections, may be evermore ready to follow thy holy commandments, through Jesus Christ our Lord. Amen.","Saint James, Apostle and Martyr",Red
07-26,"O God, whose never-failing providence ordereth all things both in heaven and earth: We humbly beseech thee to put away from us all hurtful things, and to give us those things which are profitable for us, through Jesus Christ our Lord. Amen.",The Eighth Sunday after Trinity,Green
07-27,"O God, whose never-failing providence ordereth all things both in heaven and earth: We humbly beseech thee to put away from us all hurtful things, and to give us those things which are profitable for us, through Jesus Christ our Lord. Amen.",The Monday in the Ninth Week After Trinity,Green
07-28,"O God, whose never-failing providence ordereth all things both in heaven and earth: We humbly beseech thee to put away from us all hurtful things, and to give us those things which are profitable for us, through Jesus Christ our Lord. Amen.",The Tuesday in the Ninth Week After Trinity,Green
07-29,"O God, whose never-failing providence ordereth all things both in heaven and earth: We humbly beseech thee to put away from us all hurtful things, and to give us those things which are profitable for us, through Jesus Christ our Lord. Amen.",The Wednesday in the Ninth Week After Trinity,Green
07-30,"O God, whose never-failing providence ordereth all things both in heaven and earth: We humbly beseech thee to put away from us all hurtful things, and to give us those things which are profitable for us, through Jesus Christ our Lord. Amen.",The Thursday in the Ninth Week After Trinity,Green
07-31,"O God, whose never-failing providence ordereth all things both in heaven and earth: We humbly beseech thee to put away from us all hurtful things, and to give us those things which are profitable for us, through Jesus Christ our Lord. Amen.",The Friday in the Ninth Week After Trinity,Green
08-01,"O God, whose never-failing providence ordereth all things both in heaven and earth: We humbly beseech thee to put away from us all hurtful things, and to give us those things which are profitable for us, through Jesus Christ our Lord. Amen.",The Saturday in the Ninth Week After Trinity,Green
08-02,"Grant to us, Lord, we beseech thee, the spirit to think and do always such things as are right, that we, who cannot do anything that is good without thee, may by thee be enabled to live according to thy will, through Jesus Christ our Lord. Amen.",The Ninth Sunday after Trinity,Green
08-03,"Grant to us, Lord, we beseech thee, the spirit to think and do always such things as are right, that we, who cannot do anything that is good without thee, may by thee be enabled to live according to thy will, through Jesus Christ our Lord. Amen.",The Monday in the Tenth Week After Trinity,Green
08-04,"Grant to us, Lord, we beseech thee, the spirit to think and do always such things as are right, that we, who cannot do anything that is good without thee, may by thee be enabled to live according to thy will, through Jesus Christ our Lord. Amen.",The Tuesday in the Tenth Week After Trinity,Green
08-05,"Grant to us, Lord, we beseech thee, the spirit to think and do always such things as are right, that we, who cannot do anything that is good without thee, may by thee be enabled to live according to thy will, through Jesus Christ our Lord. Amen.",The Wednesday in the Tenth Week After Trinity,Green
08-06,"Grant to us, Lord, we beseech thee, the spirit to think and do always such things as are right, that we, who cannot do anything that is good without thee, may by thee be enabled to live according to thy will, through Jesus Christ our Lord. Amen.",The Thursday in the Tenth Week After Trinity,Green
08-07,"Grant to us, Lord, we beseech thee, the spirit to think and do always such things as are right, that we, who cannot do anything that is good without thee, may by thee be enabled to live according to thy will, through Jesus Christ our Lord. Amen.",The Friday in the Tenth Week After Trinity,Green
08-08,"Grant to us, Lord, we beseech thee, the spirit to think and do always such things as are right, that we, who cannot do anything that is good without thee, may by thee be enabled to live according to thy will, through Jesus Christ our Lord. Amen.",The Saturday in the Tenth Week After Trinity,Green
